"player_name","field_goal_attempt","games_played","minutes_played_per_game","year"
"Tariq Abdul-Wahad","8.3","49","24.6","1998"
"Shareef Abdur-Rahim","17.9","50","40.4","1998"
"Cory Alexander","7.2","36","21.6","1998"
"Ray Allen","13.5","50","34.4","1998"
"Peter Aluma","1.0","2","2.5","1998"
"Derek Anderson","8.3","38","25.7","1998"
"Kenny Anderson","10.5","34","29.7","1998"
"Nick Anderson","13.6","47","33.6","1998"
"Shandon Anderson","7.3","50","21.4","1998"
"Chris Anstey","3.4","41","11.5","1998"
"Greg Anthony","5.0","50","16.1","1998"
"B.J. Armstrong","2.8","32","11.2","1998"
"Darrell Armstrong","10.4","50","30.0","1998"
"Keith Askins","1.9","33","12.6","1998"
"Stacey Augmon","3.6","48","18.2","1998"
"Isaac Austin","9.2","49","25.7","1998"
"Anthony Avent","2.6","5","8.8","1998"
"Thurl Bailey","4.1","43","12.6","1998"
"Toby Bailey","3.2","27","9.2","1998"
"LaMark Baker","1.0","1","2.0","1998"
"Vin Baker","12.9","34","34.2","1998"
"Charles Barkley","12.0","42","36.3","1998"
"Dana Barros","7.4","50","23.1","1998"
"Brent Barry","9.6","37","31.9","1998"
"Drew Barry","1.9","17","10.8","1998"
"Jon Barry","3.2","43","17.1","1998"
"Tony Battie","5.7","50","22.4","1998"
"Corey Beck","1.6","24","7.5","1998"
"Benoit Benjamin","1.2","6","5.5","1998"
"Corey Benjamin","3.8","31","10.3","1998"
"Mario Bennett","2.0","3","6.3","1998"
"Travis Best","6.2","49","21.3","1998"
"Mike Bibby","12.1","50","35.2","1998"
"Chauncey Billups","11.0","45","33.1","1998"
"Mookie Blaylock","13.6","48","36.7","1998"
"Corie Blount","2.9","34","15.6","1998"
"Muggsy Bogues","4.3","36","19.8","1998"
"Etdrick Bohannon","0.0","2","2.0","1998"
"Keith Booth","3.9","39","11.1","1998"
"Bruce Bowen","3.1","30","16.5","1998"
"Earl Boykins","3.6","22","10.0","1998"
"Shawn Bradley","7.1","49","26.4","1998"
"Terrell Brandon","14.1","36","33.8","1998"
