"pick_rank","player_name","year"
"1","Michael Olowokandi","1998"
"2","Mike Bibby","1998"
"3","Raef LaFrentz","1998"
"4","Antawn Jamison","1998"
"5","Vince Carter","1998"
"6","Robert Traylor","1998"
"7","Jason Williams","1998"
"8","Larry Hughes","1998"
"9","Dirk Nowitzki","1998"
"10","Paul Pierce","1998"
"11","Bonzi Wells","1998"
"12","Michael Doleac","1998"
"13","Keon Clark","1998"
"14","Michael Dickerson","1998"
"15","Matt Harpring","1998"
"16","Bryce Drew","1998"
"17","Rasho Nesterović","1998"
"18","Mirsad Türkcan","1998"
"19","Pat Garrity","1998"
"20","Roshown McLeod","1998"
"21","Ricky Davis","1998"
"22","Brian Skinner","1998"
"23","Tyronn Lue","1998"
"24","Felipe López","1998"
"25","Al Harrington","1998"
"26","Sam Jacobson","1998"
"27","Vladimir Stepania","1998"
"28","Corey Benjamin","1998"
"29","Nazr Mohammed","1998"
"30","Ansu Sesay","1998"
"31","Ruben Patterson","1998"
"32","Rashard Lewis","1998"
"33","Jelani McCoy","1998"
"34","Shammond Williams","1998"
"35","Bruno Šundov","1998"
"36","Jerome James","1998"
"37","Casey Shaw","1998"
"38","DeMarco Johnson","1998"
"39","Rafer Alston","1998"
"40","Korleone Young","1998"
"41","Cuttino Mobley","1998"
"42","Miles Simon","1998"
"43","Jahidi White","1998"
"44","Sean Marks","1998"
"45","Toby Bailey","1998"
"46","Andrae Patterson","1998"
"47","Tyson Wheeler","1998"
"48","Ryan Stack","1998"
"49","Cory Carr","1998"
"50","Andrew Betts","1998"
"51","Corey Brewer","1998"
"52","Derrick Dial","1998"
"53","Greg Buckner","1998"
"54","Tremaine Fowlkes","1998"
"55","Ryan Bowen","1998"
"56","J.R. Henderson","1998"
"57","Torraye Braggs","1998"
"58","Maceo Baston","1998"
"1","Elton Brand","1999"
"2","Steve Francis","1999"
"3","Baron Davis","1999"
"4","Lamar Odom","1999"
"5","Jonathan Bender","1999"
"6","Wally Szczerbiak","1999"
"7","Richard Hamilton","1999"
"8","Andre Miller","1999"
"9","Shawn Marion","1999"
"10","Jason Terry","1999"
"11","Trajan Langdon","1999"
"12","Aleksandar Radojević","1999"
"13","Corey Maggette","1999"
"14","William Avery","1999"
"15","Frederic Weis","1999"
"16","Metta World Peace","1999"
"17","Cal Bowdler","1999"
"18","James Posey","1999"
"19","Quincy Lewis","1999"
"20","Dion Glover","1999"
"21","Jeff Foster","1999"
"22","Kenny Thomas","1999"
"23","Devean George","1999"
"24","Andrei Kirilenko","1999"
"25","Tim James","1999"
"26","Vonteego Cummings","1999"
"27","Jumaine Jones","1999"
"28","Scott Padgett","1999"
"29","Leon Smith","1999"
"30","John Celestand","1999"
"31","Rico Hill","1999"
"32","Michael Ruffin","1999"
"33","Chris Herren","1999"
"34","Evan Eschmeyer","1999"
"35","Calvin Booth","1999"
"36","Wang Zhizhi","1999"
"37","Obinna Ekezie","1999"
"38","Laron Profit","1999"
"39","A.J. Bramlett","1999"
"40","Gordan Giriček","1999"
"41","Francisco Elson","1999"
"42","Louis Bullock","1999"
"43","Lee Nailon","1999"
"44","Tyrone Washington","1999"
"45","Ryan Robertson","1999"
"46","J.R. Koch","1999"
"47","Todd MacCulloch","1999"
"48","Galen Young","1999"
"49","Lari Ketner","1999"
"50","Venson Hamilton","1999"
"51","Antwain Smith","1999"
"52","Roberto Bergersen","1999"
"53","Rodney Buford","1999"
"54","Melvin Levett","1999"
"55","Kris Clack","1999"
"56","Tim Young","1999"
"57","Manu Ginóbili","1999"
"58","Eddie Lucas","1999"
"1","Kenyon Martin","2000"
"2","Stromile Swift","2000"
"3","Darius Miles","2000"
"4","Marcus Fizer","2000"
"5","Mike Miller","2000"
"6","DerMarr Johnson","2000"
"7","Chris Mihm","2000"
"8","Jamal Crawford","2000"
"9","Joel Przybilla","2000"
"10","Keyon Dooling","2000"
"11","Jérôme Moïso","2000"
"12","Etan Thomas","2000"
"13","Courtney Alexander","2000"
"14","Mateen Cleaves","2000"
"15","Jason Collier","2000"
"16","Hedo Türkoğlu","2000"
"17","Desmond Mason","2000"
"18","Quentin Richardson","2000"
"19","Jamaal Magloire","2000"
"20","Speedy Claxton","2000"
"21","Morris Peterson","2000"
"22","Donnell Harvey","2000"
"23","DeShawn Stevenson","2000"
"24","Dalibor Bagarić","2000"
"25","Jake Tsakalidis","2000"
"26","Mamadou N'Diaye","2000"
"27","Primož Brezec","2000"
"28","Erick Barkley","2000"
"29","Mark Madsen","2000"
"30","Marko Jarić","2000"
"31","Dan Langhi","2000"
"32","A.J. Guyton","2000"
"33","Jake Voskuhl","2000"
"34","Khalid El-Amin","2000"
"35","Mike Smith","2000"
"36","Soumaila Samake","2000"
"37","Eddie House","2000"
"38","Eduardo Nájera","2000"
"39","Lavor Postell","2000"
"40","Hanno Möttölä","2000"
"41","Chris Carrawell","2000"
"42","Olumide Oyedeji","2000"
"43","Michael Redd","2000"
"44","Brian Cardinal","2000"
"45","Jabari Smith","2000"
"46","DeeAndre Hulett","2000"
"47","Josip Sesar","2000"
"48","Mark Karcher","2000"
"49","Jason Hart","2000"
"50","Kaniel Dickens","2000"
"51","Igor Rakočević","2000"
"52","Ernest Brown","2000"
"53","Dan McClintock","2000"
"54","Cory Hightower","2000"
"55","Chris Porter","2000"
"56","Jaquay Walls","2000"
"57","Scoonie Penn","2000"
"58","Pete Mickeal","2000"
"1","Kwame Brown","2001"
"2","Tyson Chandler","2001"
"3","Pau Gasol","2001"
"4","Eddy Curry","2001"
"5","Jason Richardson","2001"
"6","Shane Battier","2001"
"7","Eddie Griffin","2001"
"8","DeSagana Diop","2001"
"9","Rodney White","2001"
"10","Joe Johnson","2001"
"11","Kedrick Brown","2001"
"12","Vladimir Radmanović","2001"
"13","Richard Jefferson","2001"
"14","Troy Murphy","2001"
"15","Steven Hunter","2001"
"16","Kirk Haston","2001"
"17","Michael Bradley","2001"
"18","Jason Collins","2001"
"19","Zach Randolph","2001"
"20","Brendan Haywood","2001"
"21","Joseph Forte","2001"
"22","Jeryl Sasser","2001"
"23","Brandon Armstrong","2001"
"24","Raül López","2001"
"25","Gerald Wallace","2001"
"26","Samuel Dalembert","2001"
"27","Jamaal Tinsley","2001"
"28","Tony Parker","2001"
