"player_name","position"
"Avery Bradley","SG"
"Jaylen Brown","SF"
"Jae Crowder","PF"
"Gerald Green","SF"
"Al Horford","C"
"R.J. Hunter","SG"
"Demetrius Jackson","PG"
"Jonas Jerebko","PF"
"Amir Johnson","C"
"Jalen Jones","PF"
"Damion Lee","SF"
"Jordan Mickey","C"
"Kelly Olynyk","C"
"Terry Rozier","SG"
"Marcus Smart","SG"
"Isaiah Thomas","PG"
"James Young","SG"
"Tyler Zeller","C"
"Anthony Bennett","PF"
"Bojan Bogdanovic","PF"
"Trevor Booker","PF"
"Randy Foye","SG"
"Jorge Gutierrez","PG"
"Joe Harris","SG"
"Rondae Hollis-Jefferson","C"
"Sean Kilpatrick","SG"
"Caris LeVert","SF"
"Jeremy Lin","PG"
"Brook Lopez","C"
"Chris McCullough","PF"
"Isaiah Whitehead","SG"
"Carmelo Anthony","PF"
"Ron Baker","SG"
"Willy Hernangomez","C"
"Justin Holiday","SF"
"Brandon Jennings","PG"
"Mindaugas Kuzminskas","SF"
"Courtney Lee","SF"
"Joakim Noah","C"
"Kyle O'Quinn","C"
"Marshall Plumlee","C"
"Kristaps Porzingis","C"
"Chasson Randle","PG"
"Derrick Rose","SG"
"Lance Thomas","PF"
"Jerryd Bayless","PG"
"Robert Covington","PF"
"Joel Embiid","C"
"Jerami Grant","C"
"Richaun Holmes","C"
"Shawn Long","PF"
"Timothe Luwawu-Cabarrot","SG"
"T.J. McConnell","PG"
"Nerlens Noel","C"
"Jahlil Okafor","C"
"Brandon Paul","SF"
"Dario Saric","PF"
"Ben Simmons","PG"
"Nik Stauskas","SG"
"James Webb III","SF"
"Bruno Caboclo","C"
"DeMarre Carroll","PF"
"DeMar DeRozan","SF"
"Cory Joseph","SG"
"Kyle Lowry","PG"
"Lucas Nogueira","C"
"Patrick Patterson","C"
"Jakob Poeltl","C"
"Norman Powell","SF"
"Terrence Ross","SF"
"Pascal Siakam","C"
"Jonas Valanciunas","C"
"Delon Wright","PG"
"Jimmy Butler","SF"
"Isaiah Canaan","PG"
"Spencer Dinwiddie","SG"
"Cristiano Felicio","C"
"Taj Gibson","C"
"Jerian Grant","PG"
"Vince Hunter","SF"
"Robin Lopez","C"
"Doug McDermott","PF"
"Nikola Mirotic","PF"
"Bobby Portis","C"
"Rajon Rondo","PG"
"Tony Snell","SF"
"Denzel Valentine","SF"
"Dwyane Wade","SG"
"Paul Zipser","SF"
"Markel Brown","SG"
"Kay Felder","PG"
"Channing Frye","PF"
"John Holland","SG"
"Jonathan Holmes","PF"
"Kyrie Irving","PG"
"LeBron James","PF"
"Richard Jefferson","SF"
"Dahntay Jones","SG"
"DeAndre Liggins","SG"
"Kevin Love","C"
"Jordan McRae","SG"
"Eric Moreland","C"
"Iman Shumpert","SF"
"Tristan Thompson","C"
"Aron Baynes","C"
"Lorenzo Brown","PG"
"Reggie Bullock","SF"
"Kentavious Caldwell-Pope","SF"
"Andre Drummond","C"
"Henry Ellenson","C"
"Michael Gbinije","SG"
"Tobias Harris","PF"
"Darrun Hilliard","SG"
"Reggie Jackson","PG"
"Stanley Johnson","PF"
"Jon Leuer","PF"
"Boban Marjanovic","C"
"Marcus Morris","PF"
"Ish Smith","PG"
"Lavoy Allen","PF"
"Aaron Brooks","PG"
"Monta Ellis","SG"
"Jeremy Evans","SF"
"Paul George","PF"
"Al Jefferson","C"
"C.J. Miles","SG"
"Georges Niang","PF"
"Alex Poythress","PF"
"Glenn Robinson III","SF"
"Julyan Stone","PG"
"Jeff Teague","PG"
"Myles Turner","C"
"Joe Young","PG"
"Thaddeus Young","PF"
"Giannis Antetokounmpo","PF"
"Michael Beasley","SF"
"Malcolm Brogdon","SG"
"Michael Carter-Williams","SG"
"Matthew Dellavedova","SG"
"John Henson","C"
"Thon Maker","C"
"Khris Middleton","SF"
"Greg Monroe","C"
"Jabari Parker","PF"
"Miles Plumlee","C"
"Mirza Teletovic","PF"
"Jason Terry","SG"
"Rashad Vaughn","SG"
"Kent Bazemore","SF"
"DeAndre Bembry","SF"
"Matt Costello","SF"
"Malcolm Delaney","PG"
"Tim Hardaway Jr.","SF"
"Dwight Howard","C"
"Kris Humphries","PF"
"Jarrett Jack","PG"
"Kyle Korver","SG"
"Paul Millsap","C"
"Mike Muscala","C"
"Taurean Prince","PF"
"Dennis Schroder","SG"
"Mike Scott","PF"
"Thabo Sefolosha","PF"
"Tiago Splitter","C"
"Walter Tavares","C"
"Nicolas Batum","SF"
"Marco Belinelli","SF"
"Treveon Graham","PF"
"Roy Hibbert","C"
"Frank Kaminsky III","C"
"Michael Kidd-Gilchrist","PF"
"Jeremy Lamb","SF"
"Ramon Sessions","PG"
"Kemba Walker","PG"
"Marvin Williams","PF"
"Christian Wood","C"
"Cody Zeller","C"
"Luke Babbitt","SF"
"Goran Dragic","PG"
"Wayne Ellington","SF"
"Udonis Haslem","C"
"James Johnson","PF"
"Tyler Johnson","SG"
"Rodney McGruder","SF"
"Josh McRoberts","PF"
"Willie Reed","C"
"Josh Richardson","SF"
"Beno Udrih","PG"
"Dion Waiters","SF"
"Briante Weber","PG"
"Okaro White","PF"
"Hassan Whiteside","C"
"Derrick Williams","PF"
"Justise Winslow","PF"
"Cliff Alexander","PF"
"D.J. Augustin","PG"
"Bismack Biyombo","C"
"Evan Fournier","SF"
"Aaron Gordon","PF"
"Jeff Green","PF"
"Mario Hezonja","PF"
"Serge Ibaka","C"
"Jodie Meeks","SG"
"Elfrid Payton","PG"
"Damjan Rudez","PF"
"Nikola Vucevic","C"
"C.J. Wilcox","SG"
"Stephen Zimmerman Jr.","C"
"Bradley Beal","SG"
"Trey Burke","SG"
"Jarell Eddie","SG"
"Marcin Gortat","C"
"Ian Mahinmi","C"
"Markieff Morris","C"
"Daniel Ochefu","C"
"Kelly Oubre Jr.","PF"
"Otto Porter Jr.","PF"
"Tomas Satoransky","SF"
"Jason Smith","PF"
"John Wall","PG"
"Darrell Arthur","PF"
"Will Barton","SF"
"Malik Beasley","SG"
"Wilson Chandler","PF"
"Kenneth Faried","PF"
"Danilo Gallinari","PF"
"Gary Harris","SG"
"Juancho Hernangomez","PF"
"Nikola Jokic","C"
"Emmanuel Mudiay","PG"
"Jamal Murray","SG"
"Jameer Nelson","PG"
"Jusuf Nurkic","C"
"JaKarr Sampson","PF"
"Jarnell Stokes","PF"
"Nate Wolters","PG"
"Cole Aldrich","C"
"Nemanja Bjelica","PF"
"Gorgui Dieng","C"
"Kris Dunn","SF"
"Tyus Jones","SG"
"Zach LaVine","SG"
"Shabazz Muhammad","SG"
"Adreian Payne","PF"
"Ricky Rubio","PG"
"Brandon Rush","SG"
"Karl-Anthony Towns","C"
"Andrew Wiggins","SF"
"Alex Abrines","SG"
"Steven Adams","C"
"Alex Caruso","SG"
"Semaj Christon","PG"
"Nick Collison","PF"
"Daniel Hamilton","SF"
"Josh Huestis","SG"
"Ersan Ilyasova","C"
"Enes Kanter","C"
"Joffrey Lauvergne","C"
"Anthony Morrow","SG"
"Victor Oladipo","PG"
"Cameron Payne","SG"
"Ronnie Price","PG"
"Andre Roberson","SF"
"Domantas Sabonis","C"
"Kyle Singler","SF"
"Russell Westbrook","PG"
"Al-Farouq Aminu","PF"
"Pat Connaughton","SF"
"Allen Crabbe","SF"
"Ed Davis","C"
"Maurice Harkless","PF"
"Jake Layman","PF"
"Meyers Leonard","C"
"Damian Lillard","PG"
"C.J. McCollum","SG"
"Luis Montero","SG"
"Shabazz Napier","SG"
"Mason Plumlee","C"
"Evan Turner","SF"
"Noah Vonleh","C"
"Joel Bolomboy","PF"
"Alec Burks","SG"
"Dante Exum","SG"
"Derrick Favors","C"
"Rudy Gobert","C"
"Gordon Hayward","PF"
"George Hill","PG"
"Rodney Hood","SG"
"Joe Ingles","PF"
"Chris Johnson","SG"
"Joe Johnson","SF"
"Trey Lyles","C"
"Shelvin Mack","PG"
"Raul Neto","PG"
"Marcus Paige","PG"
"Tyrone Wallace","PG"
"Jeff Withey","C"
"Ian Clark","SG"
"Stephen Curry","PG"
